Name,Data Types,Default Task,Attribute Types,Number of Instances,Number of Attributes,Year,Sample size,Area
Bach Choral Harmony,Sequential,Classification,,5665,17.0,2014.0,Large,
StoneFlakes,Multivariate,Clustering,Real,79,8.0,2014.0,Small,
Tennis Major Tournament Match Statistics,Multivariate,Clustering,"Integer, Real",127,42.0,2014.0,Medium,
Parkinson Speech Dataset with Multiple Types of Sound Recordings,Multivariate,Regression,"Integer, Real",1040,26.0,2014.0,Large,
Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series",Clustering,Real,9900,50.0,2014.0,Large,
Perfume Data,"Univariate, Domain-Theory",Clustering,Integer,560,2.0,2014.0,Medium,Computer
BlogFeedback,Multivariate,Regression,"Integer, Real",60021,281.0,2014.0,Extra Large,Social
REALDISP Activity Recognition Dataset,"Multivariate, Time-Series",Classification,Real,1419,120.0,2014.0,Large,Computer
Newspaper and magazine images segmentation dataset,,Classification,,101,,2014.0,Medium,Computer
AAAI 2014 Accepted Papers,Multivariate,Clustering,,399,6.0,2014.0,Medium,Computer
Gas sensor array under flow modulation,"Multivariate, Time-Series",Regression,Real,58,120432.0,2014.0,Small,Computer
Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series",Regression,Real,180,150000.0,2014.0,Medium,Computer
UJIIndoorLoc,Multivariate,Regression,"Integer, Real",21048,529.0,2014.0,Extra Large,Computer
Dow Jones Index,Time-Series,Clustering,"Integer, Real",750,16.0,2014.0,Medium,Business
sEMG for Basic Hand movements,Time-Series,Classification,Real,3000,2500.0,2014.0,Large,Life
AAAI 2013 Accepted Papers,Multivariate,Clustering,,150,5.0,2014.0,Medium,Computer
Geographical Original of Music,Multivariate,Regression,Real,1059,68.0,2014.0,Large,
Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934,16.0,2014.0,Extra Large,Computer
Grammatical Facial Expressions,"Multivariate, Sequential",Clustering,Real,27965,100.0,2014.0,Extra Large,Computer
NoisyOffice,Multivariate,Regression,Real,216,216.0,2015.0,Medium,Computer
MHEALTH Dataset,"Multivariate, Time-Series",Classification,Real,120,23.0,2014.0,Medium,Computer
Student Performance,Multivariate,Regression,Integer,649,33.0,2014.0,Medium,Social
ElectricityLoadDiagrams20112014,Time-Series,Clustering,Real,370,140256.0,2015.0,Medium,Computer
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series",Regression,Real,4178504,19.0,2015.0,Extra Large,Computer
microblogPCU,"Multivariate, Univariate, Sequential, Text",Causal Discovery,"Integer, Real",221579,20.0,2015.0,Extra Large,Computer
Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800,20.0,2015.0,Extra Large,
Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509,49.0,2015.0,Extra Large,Computer
TV News Channel Commercial Detection Dataset,Multivariate,Clustering,Real,129685,12.0,2015.0,Extra Large,Computer
Phishing Websites,,Classification,Integer,2456,30.0,2015.0,Large,Computer Security
Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921,5232.0,2015.0,Large,Physical
Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151,20.0,2014.0,Large,Life
HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590,1.0,2015.0,Large,Life
Sentiment Labelled Sentences,Text,Classification,,3000,,2015.0,Large,
Online News Popularity,Multivariate,Regression,"Integer, Real",39797,61.0,2015.0,Extra Large,Business
Forest type mapping,Multivariate,Classification,,326,27.0,2015.0,Medium,Life
wiki4HE,Multivariate,Clustering,,913,53.0,2015.0,Medium,Social
